Parent Rank,Kid Rank,Mobility Rate,Tier,Type
0.2742091062394055,0.44333166,0.020033943999999998,11,For Profit
0.6836863593190956,0.59242207,0.014363836000000001,6,Private Non profit
0.5254059816483075,0.53531063,0.014857335,7,Public
0.649209833337544,0.51605916,0.01635739,10,For Profit
0.5404712352712275,0.55242109,0.018844681000000002,5,Public
0.6488922144668744,0.65645194,0.032585073,6,Private Non profit
0.5349966178232848,0.52692991,0.0099409306,9,Public
0.6431393285234163,0.60715014,0.0095646288,6,Private Non profit
0.6210068662961324,0.45323527,0.020172881,11,For Profit
0.4815929762377129,0.54722869,0.031438664,11,For Profit
0.5320831934611002,0.62302995,0.037858433999999996,8,Private Non profit
0.6464763283729553,0.58335757,0.014744159,4,Private Non profit
0.4962683368669369,0.47029981,0.017105053999999998,9,Public
0.4253295740551512,0.55232471,0.0421931,5,Public
0.4177788689892779,0.47551450000000006,0.030778091,9,Public
0.5121716638853312,0.46743786,0.0044741882,9,Public
0.4534789059423429,0.51685178,0.02440845,9,Public
0.6617410182952881,0.85815191,0.033575334,8,Private Non profit
0.4209576342934153,0.54412282,0.025794942,5,Public
0.2893526554107666,0.40087923,0.014374671,9,Public
0.5455990981329516,0.60999703,0.055204768,6,Private Non profit
0.7385893861452738,0.67515606,0.0068131848,6,Private Non profit
0.6467425535945123,0.66668701,0.013705796999999999,6,Private Non profit
0.4995165290655913,0.58510536,0.027365765,6,Private Non profit
0.6503547167847933,0.64449984,0.014770933,6,Private Non profit
0.529356320699056,0.51568305,0.019464158999999998,9,Public
0.4885034759839376,0.51960993,0.019646211,9,Public
0.7086487412452698,0.69026655,0.013434455,6,Private Non profit
0.5262112824833715,0.52306706,0.011012558,9,Public
0.6897997458775839,0.64209843,0.011659105,6,Private Non profit
0.497607558965683,0.52972853,0.015276693000000001,9,Public
0.3497430284818013,0.40544959999999997,0.022791615,9,Public
0.6169924075743286,0.62312126,0.021852216,6,Private Non profit
0.5198939542592682,0.55707598,0.026607818999999998,6,Private Non profit
0.6104632182394293,0.5690521,0.017735526,9,Public
0.4889057974920673,0.52813339,0.019522573999999997,9,Public
0.3185619016488393,0.47268602,0.019744419,11,For Profit
0.5444852378890981,0.5984745,0.014345624,8,Private Non profit
0.4156729016440192,0.46452776,0.026364811000000002,10,For Profit
0.5397276263864174,0.61348945,0.026896371000000002,6,Private Non profit
0.6444831291834513,0.5014497,0.0070262402000000005,8,Private Non profit
0.3697099068053297,0.3949818,0.0096918242,10,For Profit
0.7750916769944782,0.70164877,0.012844238000000001,4,Private Non profit
0.8098269012159929,0.74838555,0.019616831,2,Private Non profit
0.5520562551465873,0.49100295,0.0064542824,9,Private Non profit
0.6649677857955887,0.55878717,0.007135674399999999,6,Private Non profit
0.5933503957442295,0.53385842,0.011968425,8,Private Non profit
0.5763272261861617,0.57439232,0.02404573,6,Private Non profit
0.4164966405691654,0.48288396,0.023021302999999996,9,Public
0.5387177742949321,0.59539962,0.021094922000000002,5,Public
0.6556851771034178,0.62273443,0.01695396,6,Private Non profit
0.6506311784480483,0.56532937,0.012353073999999999,9,Public
0.5208473156852075,0.49143338,0.019280403999999998,9,Public
0.3873562216758728,0.46031681,0.013152836999999999,10,For Profit
0.4959127804445824,0.53804046,0.031372156,12,For Profit
0.3894438463718811,0.41399509,0.011797697,11,For Profit
0.7143981516917829,0.60711712,0.0054004826,5,Public
0.6869976647385744,0.60857874,0.005840097099999999,6,Private Non profit
0.6637574903118422,0.53243762,0.009459664100000001,9,Public
0.6678123636153138,0.64650625,0.019300634,6,Private Non profit
0.6218944031651279,0.5155229,0.0008549531300000001,10,For Profit
0.7185239516984728,0.64583516,0.015779939,5,Public
0.3898985281969393,0.50335938,0.024497749,9,Public
0.3760590530459156,0.46244916,0.017940748,9,Public
0.5043328948331651,0.55960405,0.023571217000000002,5,Public
0.5076358434826043,0.5051834,0.015625553,9,Public
0.5275295254351003,0.56311202,0.021171753999999997,5,Public
0.5826358347065724,0.55217445,0.018230883,5,Public
0.5902793010075887,0.5567174,0.04573692,8,Private Non profit
0.5698056334071216,0.52051026,0.017068015,10,For Profit
0.4955188807130689,0.48224294,0.024526617,10,For Profit
0.5124606862726157,0.5219956,0.027079022999999997,10,For Profit
0.4306097748733702,0.48593869999999995,0.026066655,11,For Profit
0.5502221804880907,0.50562984,0.015021494,10,For Profit
0.5777613961622351,0.52197212,0.0080154333,10,For Profit
0.5180613060825792,0.49274001,0.017201809,10,For Profit
0.6032358670763194,0.49110997,0.016963538,10,For Profit
0.590799188642157,0.51757824,0.019988999,10,For Profit
0.5855355689820555,0.51643348,0.006846734300000001,10,For Profit
0.5836303219908759,0.55562413,0.0063791838,10,For Profit
0.6700166662534078,0.55679291,0.0078622261,6,Private Non profit
0.5100794743252485,0.47108439,0.0075758062,9,Public
0.6411178192995876,0.60016811,0.0056378758,6,Private Non profit
0.6182191690302784,0.53356785,0.0062271683,9,Public
0.7621525287628174,0.73252755,0.008881609,6,Private Non profit
0.4837827756835355,0.48751354,0.010042151,9,Public
0.3943832564641772,0.4689441,0.013703366000000002,7,Public
0.311169574658076,0.40582091,0.014392436000000002,9,Public
0.5090663519799603,0.49675524,0.014002528,9,Public
0.7596294441249642,0.65452141,0.010658238,5,Public
0.5546741882464535,0.56350595,0.024405176,5,Public
0.6960997434481901,0.66369879,0.012930907,6,Private Non profit
0.4255819011006371,0.44805822,0.0079094386,9,Public
0.7545178960550007,0.70730913,0.0099985851,4,Private Non profit
0.6779491567388684,0.64864296,0.0044448045,6,Private Non profit
